Customer Code,DaysPresent,Revenue
CAG0003,4290,2939901.55
CAG0014,0,0
CAG0027,4291,11137874.49
CAG0062,4290,577930.59
CAG0068,4291,5345924.93
CAG0103,4291,176326.09
CAG0107,4164,76552365.71
CAG0108,4130,46230415.17
CAG0111,4107,117910402.9
CAG0115,4070,4689465.33
CAG0117,4066,946746.29
CAG0118,4055,3903918.45
CAG0123,3955,14274225.28
CAG0127,3827,45125412.79
CAG0128,3791,75908.45
CAG0139,3417,6241650.81
CAG0141,3297,7500426.44
CAG0142,0,0
CAG0146,2972,21543864.81
CAG0147,2850,27396678.17
CAG0149,0,0
CAG0152,2485,12109284.16
CAG0156,0,0
CAG0158,2256,8087641.24
CAG0160,2181,177014.68
CAG0161,2099,820219.39
CAG0162,0,0
CAG0163,0,0
CAG0165,1987,23970250.13
CAG0166,1920,41542984.64
CAG0167,1871,336250.7
CAG0170,1766,384800.4
CAG0171,0,0
CAG0173,1696,51683545.2
CAG0175,0,0
CAG0178,1646,7874602.9
CAG0181,1490,1656207.32
CAG0182,1443,4326997.07
CAG0183,1438,590187.06
CAG0184,1424,11221873.17
CAG0185,1396,168688.86
CAG0189,0,0
CAG0190,1371,1180606.96
CAG0191,1330,2843328.24
CAG0196,1240,402998.35
CAG0197,1237,365899.39
CAG0199,0,0
CAG0200,1099,7463839.25
CAG0201,1094,5960851.06
CAG0202,1088,2069488.94
CAG0203,1056,54062417.53
CAG0204,1049,281143.6
CAG0205,1043,2549985.44
CAG0206,1024,22450236.52
CAG0207,1015,1953894.4
CAG0208,1000,13100077.56
CAG0209,961,6051731.52
CAG0211,0,0
CAG0212,936,13712930.49
CAG0213,926,585549.72
CAG0214,917,178034.28
CAG0216,0,0
CAG0218,0,0
CAG0219,842,271113.38
CAG0220,831,4480266.24
CAG0221,791,835357.8
CAG0223,716,1933229.96
CAG0229,0,0
CAG0235,709,55327904.68
CAG0236,0,0
CAG0237,708,79386.41
CAG0239,695,278922.88
CAG0240,693,1331058.9
CAG0242,674,1413438.39
CAG0243,644,3251293.48
CAG0244,642,39234779.27
CAG0245,639,3144458.66
CAG0247,609,1415180.59
CAG0248,603,4126709.91
CAG0249,588,2837093.42
CAG0250,0,0
CAG0251,581,704905.06
CAG0252,569,1930004.02
CAG0253,567,4010673.44
CAG0256,490,77144866.44
CAG0257,0,0
CAG0258,476,0
CAG0259,474,985725.4
CAG0260,0,0
CAG0262,443,2745576.06
CAG0263,434,2097854.58
CAG0264,427,0
CAG0265,0,0
CAG0266,425,748122.66
CAG0267,423,6460985.44
CAG0268,0,0
CAG0269,0,0
CAG0270,0,0
CAG0272,337,1021788.12
CAG0273,336,2518727.33
CAG0274,328,1664622.03
CAG0275,324,4086356.73
CAG0276,322,1070714.26
CAG0277,318,1452535.78
CAG0278,0,0
CAG0279,0,0
CAG0280,0,0
CAG0281,240,7658212.45
CAG0282,237,1110004.19
CAG0283,176,10695889.32
CAG0291,243,2855287.65
CAG0292,185,134138.92
CAH0004,842,28136959.5
CAH0006,4291,12540930.12
CAH0010,1693,9837.88
CAH0011,4291,0
CAH0014,3978,1411686.47
CAH0021,2798,39904617.63
CAH0022,2525,7925101.7
CAH0024,2121,8861983.41
CAH0029,1179,603371.58
CAH0030,0,0
CAH0031,444,9699873.2
CAH0032,301,25827584.58
CAH0033,286,12016475.12
CAH0034,204,501631.32
CAH0035,169,1066189.3
CAI0016,4291,58992.44
CAI0029,0,0
CAI0038,1731,27385282.34
CAI0042,716,4412010.56
CAI0043,716,6947608.92
CAI0044,710,22083.24
CAI0045,710,15017.54
CAI0047,710,899.98
CAI0048,710,10639.86
CAI0049,716,652753.04
CAI0054,0,0
CAI0056,710,7672.04
CAI0058,716,10007662.46
CAI0064,716,1470364.92
CAI0065,710,23990.88
CAI0066,716,7558594.16
CAI0067,710,15949.9
CAI0068,716,0
CAI0070,710,2197.38
CAI0071,710,4498.94
CAI0086,637,11595.73
CAI0088,566,3428768.88
CAI0090,388,2708.14
